TARID,protein_name,source_organism,Strain,UniProt_ID,PDB_ID,UniProt PubMed IDs,Function_GO_uniprot,Function_PDB
595,Sensory box / GGDEF family protein,Bacillus cereus ,Strain ATCC 14579  /  DSM 31  /  CCUG 7414  /  JCM 2152  /  NBRC 15305  /  NCIMB 9373  /  NCTC 2599  /  NRRL B-3711,Q819E1,--,12721630,Diguanylate cyclase activity,Not Available
596,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Enterobacter cloacae complex spp. ECNIH11,,A0A2S4SKF2,--,29437920,Not Available,Not Available
597,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Enterobacteriaceae bacterium,,A0A351NN89,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
598,Biofilm PGA synthesis deacetylase PgaB,Paraburkholderia caribensis MBA4,,A0A0P0RAM0,--,24558235,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
599,GGDEF family protein,Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai ,Strain 56601,Q8EXH5,--,12712204,Diguanylate cyclase activity,Not Available
600,GGDEF family protein,Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai ,Strain 56601,Q8F249,--,12712204,Diguanylate cyclase activity,Not Available
601,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Aquitalea magnusonii,,A0A3G9GKV2,--,28293292,Acetyl glucosaminyl transferase activity,Not Available
602,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Xanthomonas vasicola pv. zeae,,A0A7C7F7Z7,--,32040377,Not Available,Not Available
603,Biofilm PGA synthesis deacetylase PgaB,Aquitalea magnusonii,,A0A3G9GKG4,--,28293292,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
604,Biofilm PGA synthesis protein PgaD,Luteimona cucumeris,,A0A562L7U6,--,26203337,Not Available,Not Available
605,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Xanthomonas vasicola pv. zeae,,A0A7C7B1H5,--,32040377,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
606,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (EC 3.5.1.-)",Pseudomonas spp. WS 5503,,A0A7Y0WES9,--,32587583,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
607,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas spp. WS 5503,,A0A7Y0WEE3,--,32587583,Not Available,Not Available
608,HmsF protein,Xanthomonas axonopodis pv. citri ,Strain 306,Q8PLI6,--,12024217,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
609,GGDEF domain-containing protein,Rhodopirellula baltica ,Strain DSM 10527  /  NCIMB 13988  /  SH1,Q7UXF6,--,12835416,Diguanylate cyclase activity,Not Available
610,Probable response regulatory protein,Rhodopirellula baltica ,Strain DSM 10527  /  NCIMB 13988  /  SH1,Q7UF69,--,12835416,Diguanylate cyclase activity,Not Available
611,Uncharacterized protein,Xanthomonas axonopodis pv. citri ,Strain 306,Q8PLI8,--,12024217,Not Available,Not Available
612,Probable response regulatory protein,Rhodopirellula baltica ,Strain DSM 10527  /  NCIMB 13988  /  SH1,Q7UR09,--,12835416,Diguanylate cyclase activity,Not Available
613,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Tatumella spp. OPLPL6,,A0A2G8BYZ7,--,29067021,Not Available,Not Available
614,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Enterobacter cloacae complex spp. ECNIH11,,A0A2S4SKE8,--,29437920,Acetyl glucosaminyl transferase activity,Not Available
615,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Enterobacter cloacae complex spp. ECNIH11,,A0A2S4SKH4,--,29437920,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
616,Conserved hypothetical Membrane protein,Pseudomonas fluorescens ,Strain SBW25,C3KAG0,--,19432983,Not Available,Not Available
617,Putative lipoprotein,Pseudomonas fluorescens ,Strain SBW25,C3KAF8,--,19432983,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
618,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-) (Fragment)",Lentisphaerae bacterium GWF2_44_16,,A0A1G0YRV0,--,27774985,Acetyl glucosaminyl transferase activity,Not Available
619,Surface composition regulator,Enterobacter cloacae complex spp. ECNIH11,,A0A2S4SUC2,--,29437920,Not Available,Not Available
620,"Haemin storage system,  HmsF protein",Yersinia pseudotuberculosis serotype I ,Strain IP32953,Q66B30,--,15358858,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
621,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Luteibacter yeojuensis,,A0A7X5QS05,--,16957102,Acetyl glucosaminyl transferase activity,Not Available
622,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Luteibacter yeojuensis,,A0A7X5QS01,--,16957102,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
623,Surface composition regulator,Serratia plymuthica S13,,S4YI83,--,23929484,Not Available,Not Available
624,Biofilm PGA synthesis lipoprotein PgaB,Luteimona cucumeris,,A0A562L7K0,--,26203337,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
625,PgaB protein,Escherichia coli ,Strain 55989  /  EAEC,B7LFD3,--,19165319,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
626,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Luteibacter yeojuensis,,A0A7X5QS23,--,16957102,Not Available,Not Available
627,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli O6:K15:H31 ,Strain 536  /  UPEC,A0A454A2Y6,--,16879640,Acetyl glucosaminyl transferase activity,Not Available
628,"Haemin storage system,  HmsS protein",Yersinia pseudotuberculosis serotype I ,Strain IP32953,Q66B28,--,15358858,Not Available,Not Available
629,Biofilm PGA synthesis lipoprotein PgaB (EC 3.-.-.-),Klebsiella pneumoniae,Strain 342,B5Y382,--,18654632,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
630,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli ,Strain 55989  /  EAEC,B7LFD2,--,19165319,Acetyl glucosaminyl transferase activity,Not Available
631,Surface composition regulator,Klebsiella pneumoniae,Strain 342,B5XU41,--,18654632,Not Available,Not Available
632,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (EC 3.5.1.-)",Pseudomonas spp. WS 5027,,A0A7Y1B5A9,--,32587583,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
633,Putative biofilm PGA synthesis protein PgaD,Klebsiella pneumoniae,Strain 342,B5Y384,--,18654632,Not Available,Not Available
634,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Luteimona cucumeris,,A0A562L7D7,--,26203337,Acetyl glucosaminyl transferase activity,Not Available
635,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xanthomonas vasicola pv. zeae,,A0A7C7B0Q2,--,32040377,Acetyl glucosaminyl transferase activity,Not Available
636,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Klebsiella pneumoniae,Strain 342,B5Y383,--,18654632,Acetyl glucosaminyl transferase activity,Not Available
637,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Acinetobacter cumulans,,A0A4P8DU29,--,30808586,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
638,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Candidatus Muproteobacteria bacterium RBG_19FT_COMBO_61_10,,A0A1F6UP26,--,27774985,Not Available,Not Available
639,Surface composition regulator,Cronobacter malonaticus,,A0A423XSW2,--,30416493,Not Available,Not Available
640,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter baumannii ,Strain AB0057,A0A7U4DG52,--,18931120,Acetyl glucosaminyl transferase activity,Not Available
641,Surface composition regulator,Cronobacter malonaticus,,V5U106,--,24435860,Not Available,Not Available
642,Uncharacterized protein,Syntrophobacter spp. DG_60,,A0A0S7XQF1,--,25922666,Not Available,Not Available
643,mRNA interferase MqsR,Paraburkholderia madseniana,,A0A6N6W8U5,--,32027304,Not Available,Not Available
644,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Sulfurimona spp. RIFOXYD2_FULL_34_21,,A0A1G3UF66,--,27774985,Acetyl glucosaminyl transferase activity,Not Available
645,Fimbrial protein,Yersinia pestis,,A0A384KL23,--,11586360,Not Available,Not Available
646,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Citrobacter freundii complex spp. CFNIH4,,A0A2L0TFK3,--,29437920,Acetyl glucosaminyl transferase activity,Not Available
647,Hypothetical lipoprotein YcdR,Escherichia coli ,Strain UTI89  /  UPEC,Q1RDJ4,--,16585510,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
648,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Citrobacter freundii complex spp. CFNIH4,,A0A2L0TFH9,--,29437920,Not Available,Not Available
649,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Sulfurimona spp. RIFOXYD2_FULL_34_21,,A0A1G3UF37,--,27774985,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
650,Surface composition regulator,Citrobacter freundii complex spp. CFNIH4,,A0A2L0TH79,--,29437920,Not Available,Not Available
651,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Yersinia pestis,,Q0WFJ6,--,11586360,Acetyl glucosaminyl transferase activity,Not Available
652,Uncharacterized protein,Escherichia coli ,Strain UTI89  /  UPEC,Q1RDJ6,--,16585510,Not Available,Not Available
653,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase",Citrobacter freundii complex spp. CFNIH4,,A0A2L0TG22,--,29437920,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
654,Putative motility quorum-sensing regulator,Magnetospirillum gryphiswaldense ,Strain DSM 6361  /  JCM 21280  /  NBRC 15271  /  MSR-1,V6F2G1,--,24625872,Not Available,Not Available
655,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Sulfurimona spp. RIFOXYD2_FULL_34_21,,A0A1G3UG59,--,27774985,Not Available,Not Available
656,Hypothetical cytosolic protein,Syntrophus aciditrophicus ,Strain SB,Q2LYD0,--,17442750,Not Available,Not Available
657,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Alcaligenaceae bacterium,,A0A7C6NLD6,--,32123542,Acetyl glucosaminyl transferase activity,Not Available
658,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Alcaligenaceae bacterium,,A0A7C6NL24,--,32123542,Not Available,Not Available
659,Putative membrane protein,Xanthomonas campestris pv. campestris ,Strain B100,A0A1X7QFS0,--,18304669,Not Available,Not Available
660,Uncharacterized protein,Rhodanobacter spp. 115,,I4VP81,--,22843592,Not Available,Not Available
661,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pasteurellaceae bacterium,,A0A356E647,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
662,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Alcaligenaceae bacterium,,A0A2D8B7A5,--,29337314,Not Available,Not Available
663,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (Fragment)",Pasteurellaceae bacterium,,A0A356EBH6,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
664,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Alcaligenaceae bacterium,,A0A2D8B791,--,29337314,Acetyl glucosaminyl transferase activity,Not Available
665,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (EC 3.5.1.-)",Alcaligenaceae bacterium,,A0A7C6NPE6,--,32123542,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
666,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Alcaligenes spp. EGD-AK7,,U1YHE7,--,24407646,Acetyl glucosaminyl transferase activity,Not Available
667,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas trivialis,,A0A0H5A7V6,--,26337878,Acetyl glucosaminyl transferase activity,Not Available
668,Outer membrane N-deacetylase,Pseudomonas trivialis,,A0A0H5ABT7,--,26337878,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
669,Motility quorum-sensing regulator MqsR,Pseudomonas trivialis,,A0A0H5A8B6,--,26337878,Not Available,Not Available
670,Uncharacterized protein,Sulfurimona denitrificans ,Strain ATCC 33889  /  DSM 1251 Thiomicrospira denitrificans Strain ATCC 33889  /  DSM 1251,Q30SJ9,--,18065616,Not Available,Not Available
671,Uncharacterized protein,Alcaligenes spp. EGD-AK7,,U1XZ69,--,24407646,Not Available,Not Available
672,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Sulfurimona denitrificans ,Strain ATCC 33889  /  DSM 1251 Thiomicrospira denitrificans Strain ATCC 33889  /  DSM 1251,Q30SK0,--,18065616,Acetyl glucosaminyl transferase activity,Not Available
673,Polysaccharide deacetylase,Sulfurimona denitrificans ,Strain ATCC 33889  /  DSM 1251 Thiomicrospira denitrificans Strain ATCC 33889  /  DSM 1251,Q30SK1,--,18065616,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
674,Biofilm PGA synthesis protein PgaD,Pseudomonas trivialis,,A0A0H5AAQ8,--,26337878,Not Available,Not Available
675,Outer membrane N-deacetylase,Alcaligenes spp. EGD-AK7,,U1ZPF8,--,24407646,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
676,Uncharacterized protein,Pediococcus damnosus,,A0A0R2HGU2,--,26415554,Not Available,Not Available
677,Biofilm PGA synthesis lipoprotein PgaB,Xanthomonas oryzae pv. oryzae ,Strain PXO99A,A0A0K0GHF3,--,18452608,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
678,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas spp. S04,,A0A6I6SR34,--,25398872,Not Available,Not Available
679,"Putative toxin-antitoxin system,  toxin component",Bordetella pertussis STO1-CHOC-0019,,A0A6N3RY39,--,24356839,Not Available,Not Available
680,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas spp. S04,,A0A6I6SST5,--,25398872,Acetyl glucosaminyl transferase activity,Not Available
681,Surface composition regulator,Yersinia pestis bv. Antiqua ,Strain Antiqua,A0A0E1NXP9,--,16740952,"DNA binding, DNA-directed DNA polymerase activity",Not Available
682,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Methylomona methanica ,Strain MC09,G0A376,--,22123758,Acetyl glucosaminyl transferase activity,Not Available
683,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (EC 3.5.1.-)",Bordetella pertussis STO1-CHOC-0019,,A0A6N3RXJ4,--,24356839,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
684,Uncharacterized protein,Methylomona methanica ,Strain MC09,G0A375,--,22123758,Not Available,Not Available
685,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Lysobacter gummosus,,A0A0S2G4Y6,--,26597042,Acetyl glucosaminyl transferase activity,Not Available
686,"Haemin storage system,  HmsF protein",Yersinia pestis bv. Antiqua ,Strain Antiqua,A0A0E1NRK0,--,16740952,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
687,GGDEF family protein,Coxiella burnetii ,Strain RSA 493  /  Nine Mile phaSe I,Q83A76,--,12704232; 19047403,Diguanylate cyclase activity,Not Available
688,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase",Pseudomonas spp. S04,,A0A6I6SX07,--,25398872,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
689,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Anaeromyxobacter spp. PSR-1,,A0A0D6QFS3,--,23709511,Acetyl glucosaminyl transferase activity,Not Available
690,Biofilm PGA synthesis lipoprotein PgaB,Actinobacillus pleuropneumoniae serotype 3 ,Strain JL03,B0BTK3,--,18197260,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
691,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas kairouanensis,,A0A4Z0ANC1,--,30910423,Acetyl glucosaminyl transferase activity,Not Available
692,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Pseudomonas kairouanensis,,A0A4Z0API9,--,30910423,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
693,Uncharacterized protein,Macrococcus goetzii,,A0A395G7Z9,--,29951040,Not Available,Not Available
694,Type II toxin-antitoxin system MqsR family toxin,Pseudomonas kairouanensis,,A0A4Z0AZZ6,--,30910423,Not Available,Not Available
695,Type II toxin-antitoxin system MqsR family toxin,Thermoanaerobacter spp.,,A0A7C7E8X0,--,32123542,Not Available,Not Available
696,Uncharacterized protein,Rhodopila globiformis ,RhodoPseudomonas globiformis,A0A2S6NP98,--,29423563,Not Available,Not Available
697,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas kairouanensis,,A0A4Z0ANQ1,--,30910423,Not Available,Not Available
698,"Toxin-antitoxin system,  toxin component",Burkholderiales bacterium RIFOXYC12_FULL_60_6,,A0A1F4P0B8,--,27774985,Not Available,Not Available
699,GGDEF domain-containing protein,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9I2P4,--,10984043,Diguanylate cyclase activity,Not Available
700,Surface composition regulator,Salmonella paratyphi C ,Strain RKS4594,C0PYX0,--,19229335,Not Available,Not Available
701,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Macrococcus goetzii,,A0A395G880,--,29951040,Acetyl glucosaminyl transferase activity,Not Available
702,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Exiguobacterium chiriqhucha RW-2,,U1LZK0,--,23929485,Acetyl glucosaminyl transferase activity,Not Available
703,Surface composition regulator,Enterobacter lignolyticus ,Strain SCF1,E3GBM1,--,22180812,Not Available,Not Available
704,Uncharacterized protein,Acinetobacter baumannii ,Strain AYE,B0V954,--,18350144,Not Available,Not Available
705,NodB homology domain-containing protein,Acinetobacter baumannii ,Strain AYE,B0V7F4,--,18350144,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
706,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Halomonas spp. 54_146,,A0A101CZX4,--,26787827,Acetyl glucosaminyl transferase activity,Not Available
707,NodB homology domain-containing protein,Halomonas spp. 54_146,,A0A101CZW4,--,26787827,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
708,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter baumannii ,Strain AYE,B0V7F5,--,18350144,Acetyl glucosaminyl transferase activity,Not Available
709,GGDEF domain-containing protein,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9HZX6,--,10984043,Diguanylate cyclase activity,Not Available
710,Uncharacterized protein,Acinetobacter baumannii ,Strain AYE,B0V7F6,--,18350144,Not Available,Not Available
711,Probable two-component response regulator,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9HUW7,--,10984043,Diguanylate cyclase activity,Not Available
712,Putative lipoprotein (Haemin storage system) (HmsF),Acinetobacter baumannii ,Strain AYE,B0V956,--,18350144,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
713,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Aeromona salmonicida,,A0A428VR46,--,30502493,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
714,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter baumannii ,Strain AYE,B0V955,--,18350144,Acetyl glucosaminyl transferase activity,Not Available
715,Uncharacterized protein,Caldanaerobacter subterraneus subspp. yonseiensis KB-1,,U5CHV1,--,24201201,Not Available,Not Available
716,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter ursingii,,A0A3D2SJG2,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
717,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Enterobacter hormaechei,,A0A6G3F3N1,--,31477907,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
718,Biofilm PGA synthesis auxiliary protein PgaD,Acinetobacter ursingii,,A0A3G9G0U0,--,28293292,Not Available,Not Available
719,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (Fragment)",Acinetobacter ursingii,,A0A3D2SPM8,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
720,Surface composition regulator,Enterobacter hormaechei,,A0A2G4ZVG2,--,29088362,Not Available,Not Available
721,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Enterobacter hormaechei,,A0A2J0PY96,--,29088362,Acetyl glucosaminyl transferase activity,Not Available
722,Surface composition regulator,Enterobacter hormaechei,,A0A6G3F999,--,31477907,Not Available,Not Available
723,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Achromobacter marplatensis,,J4QR07,--,23105084,Acetyl glucosaminyl transferase activity,Not Available
724,Uncharacterized protein,Achromobacter marplatensis,,J4J7C4,--,23105084,Not Available,Not Available
725,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Methylomona denitrificans,,A0A140E5K7,--,25580993,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
726,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Enterobacter hormaechei,,A0A6G3F3X4,--,31477907,Not Available,Not Available
727,Uncharacterized protein,Achromobacter marplatensis,,J4J6D3,--,23105084,Not Available,Not Available
728,Hemin storage protein,Achromobacter marplatensis,,J4YMC5,--,23105084,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
729,Uncharacterized protein,Methylomona denitrificans,,A0A140E5K9,--,25580993,Not Available,Not Available
730,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Achromobacter marplatensis,,J4Y513,--,23105084,Acetyl glucosaminyl transferase activity,Not Available
731,Biofilm PGA synthesis auxiliary protein PgaD,Acinetobacter ursingii,,A0A3G9FU89,--,28293292,Not Available,Not Available
732,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Methylomona denitrificans,,A0A140E5K8,--,25580993,Acetyl glucosaminyl transferase activity,Not Available
733,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter ursingii,,A0A3G9FTN3,--,28293292,Acetyl glucosaminyl transferase activity,Not Available
734,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Enterobacter hormaechei,,A0A2J0PYU0,--,29088362,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
735,Polysaccharide deacetylase,Escherichia coli O78:H11 ,Strain H10407  /  ETEC,E3PJJ0,--,20802035,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
736,Surface composition regulator,Escherichia coli O78:H11 ,Strain H10407  /  ETEC,E3PJW4,--,20802035,Not Available,Not Available
737,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli O78:H11 ,Strain H10407  /  ETEC,E3PJI9,--,20802035,Acetyl glucosaminyl transferase activity,Not Available
738,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Carnobacterium divergens DSM 20623,,A0A0R2HW17,--,26415554,Acetyl glucosaminyl transferase activity,Not Available
739,Uncharacterized protein,Staphylococcus aureus subspp. aureus 71193,,A0A0E0VNH0,--,22375071,Not Available,Not Available
740,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Candidatus Muproteobacteria bacterium RBG_19FT_COMBO_61_10,,A0A1F6UP22,--,27774985,Acetyl glucosaminyl transferase activity,Not Available
741,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acidobacteria bacterium,,A0A2V7YF32,--,29899444,Acetyl glucosaminyl transferase activity,Not Available
